show_id,title,tags,word_count
s1,Dick Johnson Is Dead,"kirstenjohnson as her father near the end of hi life, filmmak kirsten johnson stage hi death in invent and comic way to help them both face the inevitable. documentari",29
s2,Blood & Water,"amaqamata,khosingema,gailmabalane,thabangmolaba,dillonwindvogel,natashathahane,arnogreeff,xoliletshabalala,getmoresithole,cindymahlangu,ryledemorny,gretelifincham,sellomaakeka-ncube,odwagwanya,mekailamathys,sandischultz,duanewilliams,shamillamiller,patrickmofokeng after cross path at a party, a cape town teen set out to prove whether a private-school swim star is her sister who wa abduct at birth. internationaltvshows,tvdramas,tvmysteri",29
s3,Ganglands,"julienleclercq samibouajila,tracygotoas,samueljouy,nabihaakkari,sofialesaffre,salimkechiouche,noureddinefarihi,geertvanrampelberg,bakarydiombera to protect hi famili from a power drug lord, skill thief mehdi and hi expert team of robber are pull into a violent and deadli turf war. crimetvshows,internationaltvshows,tvaction&adventur",30
s4,Jailbirds New Orleans,"feuds, flirtat and toilet talk go down among the incarcer women at the orlean justic center in new orlean on thi gritti realiti series. docuseries,realitytv",25
s5,Kota Factory,"mayurmore,jitendrakumar,ranjanraj,alamkhan,ahsaaschanna,revathipillai,urvisingh,arunkumar in a citi of coach center known to train india’ finest collegi minds, an earnest but unexcept student and hi friend navig campu life. internationaltvshows,romantictvshows,tvcomedi",26
s6,Midnight Mass,"mikeflanagan katesiegel,zachgilford,hamishlinklater,henrythomas,kristinlehman,samanthasloyan,igbyrigney,rahulkohli,annarahcymone,annabethgish,alexessoe,rahulabburi,mattbiedel,michaeltrucco,crystalbalint,louisoliv the arriv of a charismat young priest bring gloriou miracles, omin mysteri and renew religi fervor to a die town desper to believe. tvdramas,tvhorror,tvmysteri",26
s7,My Little Pony: A New Generation,"robertcullen,joséluisucha vanessahudgens,kimikoglenn,jamesmarsden,sofiacarson,lizakoshy,kenjeong,elizabethperkins,janekrakowski,michaelmckean,phillamarr equestria' divided. but a bright-ey hero believ earth ponies, pegasi and unicorn should be pal — and, hoof to heart, she’ determin to prove it. children&familymovi",28
s8,Sankofa,"hailegerima kofighanaba,oyafunmikeogunlano,alexandraduah,nickmedley,mutabaruka,afemoomilami,reggiecarter,mzuri on a photo shoot in ghana, an american model slip back in time, becom enslav on a plantat and bear wit to the agoni of her ancestr past. dramas,independentmovies,internationalmovi",31
s9,The Great British Baking Show,"andydevonshir melgiedroyc,sueperkins,maryberry,paulhollywood a talent batch of amateur baker face off in a 10-week competition, whip up their best dish in the hope of be name the u.k.' best. britishtvshows,realitytv",29
s10,The Starling,"theodoremelfi melissamccarthy,chriso'dowd,kevinkline,timothyolyphant,daveeddiggs,skylergisondo,lauraharrier,rosalindchao,kimberlyquinn,lorettadevine,ravikapoor a woman adjust to life after a loss contend with a feisti bird that' taken over her garden — and a husband who' struggl to find a way forward. comedies,drama",32
s11,"Vendetta: Truth, Lies and The Mafia","sicili boast a bold ""anti-mafia"" coalition. but what happen when those tri to bring down organ crime are accus of be crimin themselves? crimetvshows,docuseries,internationaltvshow",24
